Name,Weight,Unit,Calories,Fat,Saturated Fat,Carbs,Sugar,Fibre,Protein,Salt,Barcode
Findus Klassisk Spekesild,100, g,184,13,3.1,2,2,0,15,5.9,
First Price Riskaker,100, g,380,3.7,0.8,76,0.6,3.7,8.9,0.31,
Apple,100, g,47,0.1,0,10,6.8,2.5,0.3,0,
Clementine,100, g,47,0.2,0,12,9,1.7,0.9,0,
Banana,100, g,89,0.3,0,22.8,12.2,2.6,1.1,0,
Go'morgen Yoghurt Skogsbaer,100, g,119,3.4,2,18,11,1,4.3,0.14,
Go'morgen Yoghurt Vanilje med noetter,100, g,146,8,2.4,13,10,0.9,5.3,0.1,
Go'morgen Yoghurt Vanilje med havrecrisp,100, g,123,4.3,2.1,16,10,0.9,4.4,0.1,
Skummetmelk,100, g,33,0.1,0.1,4.5,4.5,0,3.5,0.1,
Lettmelk 0.5%,100, g,37,0.5,0.3,4.5,4.5,0,3.5,0.1,
Lettmelk 1%,100, g,41,1,0.6,4.5,4.5,0,3.5,0.1,
Helmelk 3.5%,100, g,63,3.5,2.3,4.5,4.5,0,3.4,0.1,
Tine Kefir,100, g,56,3,1.9,4,4,0,3.3,0.1,
Norvegia,100, g,351,27,17,0,0,0,27,1.2,
Frisk and Presset Appelsin juice,100, g,36,0.1,0.1,8.3,7.8,0,0.5,0,
Biola Blaabaer,100, g,50,0.1,0,9.5,9.4,0,3,0.11,
Rema Raskt og Enkelt Spicy Tomatosuppe,100, g,44,1.2,0.1,6.3,4.6,0.9,1.6,0.8,
Nestle Coffee Mate coffee creamer,100, g,546,34.4,25.9,56.9,9.1,0,1.9,0.88,
